ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1207_N,P1207_NOM,P1207_COD,P1207_TIPO,P1208,OMICAP1200B_ME
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,07,07,1,3,250391005,6.066584,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,09,09,1,3,250391005,2.890929,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,09,09,1,3,250391005,2.890929,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,10,10,1,3,250391005,2.273669,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,10,10,1,3,250391005,2.273669,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,11,11,1,3,250391005,6.727831,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,11,11,1,3,250391005,6.727831,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,12,12,1,3,250391005,2.593173,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,12,12,1,3,250391005,2.593173,1,,1,1,0,2,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,14,14,1,3,250391005,8.369086,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
