ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P147,P147_SUP_1,P147_SUP_2,P147_EQUIV_1,P147_EQUIV_2,P147_SUP_ha,P107,P148_DIA,P148_MES,P148_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P202,P224A,P224G_1,P224G_2,P224G_3,P224G_4,P224G_5,P224G_6,P224G_8,P224G_9,P224G_7,OMICAP100B_02
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,0,1,1,46,000,46,0000,46,FUNDO LA BUENA TIERRA,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,2,2,11,000,11,0000,11,FUNDO CHAVEZ 2,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,02,02,1,3,250393005,91.52573,1,,1,0,0,1,1,24,000,24,0000,24,FUNDO CHAVEZ,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,03,03,1,3,250393005,80.92716,1,,1,0,0,1,1,80,000,80,0000,80,FUNDO SANTA CLARA,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,01,01,1,3,250391005,46.84928,1,,1,1,0,1,1,55,000,55,0000,55,FUNDO ALICIA,,,,1,0,0,1,0,1,7,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,02,02,1,3,250391005,14.50153,1,,1,0,0,1,1,45,000,45,0000,45,VASQUEZ,,,,1,0,0,1,0,1,10,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,03,03,1,3,250391005,19.81655,1,,1,0,0,1,1,32,000,32,0000,32,FUNDO ADAN,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,1,0,1,1,45,000,45,0000,45,FUNDO ZUÑIGA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,01,01,1,3,250391005,2.545616,1,,1,1,0,1,1,5,000,5,0000,5,FUNDO HIDALGO,,,,1,0,0,0,0,1,5,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,1,0,0,2,2,0,200,0,2000,.2,FUNDO RUBEN,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,1,0,0,1,1,14,000,14,0000,14,FUNDO RUBEN,,,,1,0,0,0,0,1,14,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,1,0,0,3,3,30,000,30,0000,30,FUNDO ÑAUPA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,1,0,0,1,1,7,000,7,0000,7,FUNDO JULIAN,,,,1,0,0,0,0,1,7,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,1,0,0,2,2,30,000,30,0000,30,FUNDO JULIAN 2,,,,1,0,0,0,0,1,30,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,04,04,1,3,250391005,.2267063,1,,1,1,0,2,2,3,000,3,0000,3,FUNDO EDGARD 2,,,,1,0,0,0,0,1,3,000,1,2,,,,,,,,,,
