ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,95290,01,01,1,3,1,2,1,0,1,0,0,0,0,1,0,5,3,0,0,170,12000,2,1,1,4, 
2024,95291,01,01,1,3,1,2,1,0,1,0,0,0,0,1,0,6,1,0,0,070,7000,2,1,1,1, 
2024,95292,01,01,1,3,1,2,1,1,1,0,0,0,0,1,0,3,1,0,0,040,40,2,1,1,4, 
2024,95292,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,6,1,0,0,040,800,2,1,1,4, 
2024,95292,01,01,1,3,1,2,1,1,1,0,0,0,0,1,0,5,2,0,0,080,2900,2,1,1,4, 
2024,95294,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,3,5,1,0,100,60,2,1,1,4, 
2024,95297,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,3,0,1,0,012,20,2,1,1,5, 
2024,95307,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,4,0,0,100,6000,2,1,1,5, 
2024,95308,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,050,150,2,1,1,5, 
2024,95309,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,1,0,032,1000,2,1,2,5, 
2024,95310,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,0,030,11,2,1,1,6, 
2024,95311,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,3,0,0,049,1000,2,1,1,6, 
2024,95312,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,005,150,2,1,1,6, 
2024,95312,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,1,0,018,10,2,1,1,6, 
2024,95313,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,0,0,050,20,2,1,1,6, 
