"anio","ccdd","ccpp","ccdi","psu","id_prod","ua","te"
2024,25,3,1,10071,1,1,0.134213856403856
2024,25,3,1,10072,3,3,0.705998825112919
2024,25,3,1,10072,6,6,0.62447606228704
2024,25,3,1,10072,7,7,0.311890916252515
2024,25,3,1,10073,1,1,0.381155835685587
2024,25,3,1,10073,2,2,0.834095320892894
2024,25,3,1,10073,3,3,0.650158011170022
2024,25,3,1,10073,5,5,0.555120824273587
2024,25,3,1,10073,6,6,0.696773374701353
2024,25,3,1,10074,3,3,0.393091970302907
2024,25,3,1,10074,4,4,0.794589429092445
2024,25,3,1,10074,5,5,0.670303425627214
2024,25,3,1,10074,6,6,0.204684230534007
2024,25,3,1,10075,1,1,0.668355837890416
2024,25,3,1,10075,4,4,0.631993921012652
2024,25,3,1,10075,5,5,0.723366697162091
2024,25,3,1,10075,7,7,0.69803076980583
2024,25,3,1,10076,1,1,0.683506558305098
2024,25,3,1,10076,2,2,0.687357915729908
2024,25,3,1,10076,3,3,0.780111417223392
2024,25,3,1,10076,4,4,0.687814119408874
2024,25,3,1,10076,6,6,0.70138107421612
2024,25,3,1,10076,7,7,0.682315311434588
2024,25,3,1,10076,8,8,0.714019007392604
2024,25,3,1,10076,9,9,0.731321222999323
2024,25,3,1,10076,10,10,0.705442034758957
2024,25,3,1,10076,11,11,0.679063572403361
2024,25,3,1,10077,1,1,0.673381388685298
2024,25,3,1,10077,2,2,0.691060311943862
2024,25,3,1,10077,3,3,0.351497993946355
2024,25,3,1,10077,4,4,0.0144637987215862
2024,25,3,1,10078,1,1,0.679641357308363
2024,25,3,1,10078,2,2,0.526371724490117
2024,25,3,1,10078,4,4,0.494199592605518
2024,25,3,1,10078,5,5,0.616527826733136
2024,25,3,1,10078,6,6,0.51211177415542
2024,25,3,1,10078,7,7,0.524155906230969
2024,25,3,1,10078,8,8,0.478528391888438
2024,25,3,1,10078,9,9,0.536100992362055
2024,25,3,1,10079,1,1,0.738034120303649
2024,25,3,1,10079,2,2,0.742978615842938
2024,25,3,1,10079,3,3,0.740446896222493
2024,25,3,1,10079,4,4,0.58832204030625
2024,25,3,1,10080,1,1,0.685621935636771
2024,25,3,1,10080,2,2,0.628137202956141
2024,25,3,1,10080,5,5,0.758561097928739
2024,25,3,1,10080,6,6,0.70048755355457
2024,25,3,1,10080,8,8,0.722206757757874
2024,25,3,1,10080,11,11,0.70073664806007
2024,25,3,1,10080,12,12,0.729252789360615
2024,25,3,1,10080,18,18,0.0132567308121222
2024,25,3,1,10080,21,21,0.662825831231438
2024,25,3,1,10080,24,24,0.668400030118739
2024,25,3,1,10081,1,1,0.494071636197789
2024,25,3,1,10081,3,3,0.499661561246245
2024,25,3,1,10081,5,5,0.462641218588287
2024,25,3,1,10081,6,6,0.514545580172895
2024,25,3,1,10081,7,7,0.490519160273896
2024,25,3,1,10081,9,9,0.496867151218248
2024,25,3,1,10083,1,1,0.704651974592541
2024,25,3,1,10083,3,3,0.781265008291614
2024,25,3,1,10083,13,13,0.702994015476825
2024,25,3,1,10084,3,3,0.289570187736786
2024,25,3,1,10084,5,5,0.455922424739721
2024,25,3,1,10085,1,1,0.654230589851504
2024,25,3,1,10085,2,2,0.654502765032497
2024,25,3,1,10086,3,3,0.503524659616721
2024,25,3,1,10087,1,1,0.31728851026184
2024,25,3,1,10088,1,1,0.750697012929919
2024,25,3,1,10088,2,2,0.729405845491045
2024,25,3,1,10089,2,2,0.46341804677913
2024,25,3,1,10089,3,3,0.696390333751586
2024,25,3,1,10090,1,1,0.482237396399465
2024,25,3,1,10090,2,2,0.644588731694484
2024,25,3,1,10090,3,3,0.432231384703415
2024,25,3,1,10091,2,2,0.600493569823367
2024,25,3,1,10091,4,4,0.670233442097621
2024,25,3,1,10091,5,5,0.541726348170826
2024,25,3,1,10091,6,6,0.550562342274216
2024,25,3,1,10091,8,8,0.555279100341879
2024,25,3,1,10092,1,1,0.497491315645886
2024,25,3,1,10092,3,3,0.494290878320686
2024,25,3,1,10092,4,4,0.443785416304688
2024,25,3,1,10092,5,5,0.606874582255959
2024,25,3,1,10093,1,1,0.512956308293522
2024,25,3,1,10093,4,4,0.807843418966477
2024,25,3,1,10093,5,5,0.735390205986978
2024,25,3,1,10093,6,6,0.693067677264842
2024,25,3,1,10093,7,7,0.646366661280693
2024,25,3,1,10094,2,2,0.536032005745425
2024,25,3,1,10095,1,1,0.629036901995419
2024,25,3,1,10095,2,2,0.413760503428081
2024,25,3,1,10096,1,1,0.725135347752306
2024,25,3,1,10096,2,2,0.137287358374079
2024,25,3,1,10096,3,3,0.514890577745054
2024,25,3,1,10096,5,5,0.74523727362283
2024,25,3,1,10096,6,6,0.681123333079209
2024,25,3,1,10097,1,1,0.782386212667869
2024,25,3,1,10097,2,2,0.785195820420034
2024,25,3,1,10097,3,3,0.742865791421909
2024,25,3,1,10097,4,4,0.676003567698997
2024,25,3,1,10097,5,5,0.722743364752022
2024,25,3,1,10097,6,6,0.801189896920677
2024,25,3,1,10098,1,1,0.651801334928069
2024,25,3,1,10098,2,2,0.675439619021181
2024,25,3,1,10098,4,4,0.682987265555749
2024,25,3,1,10098,5,5,0.670213597139871
2024,25,3,1,10098,7,7,0.591750222617807
2024,25,3,1,10098,8,8,0.156391636519744
2024,25,3,1,10099,1,1,0.650192920605882
2024,25,3,1,10099,2,2,0.298406016345016
2024,25,3,1,10100,1,1,0.636002267966413
2024,25,3,1,10100,2,2,0.227186027378606
2024,25,3,1,10101,1,1,0.756555048140568
2024,25,3,1,10101,6,6,0.696283921929056
2024,25,3,1,10101,7,7,0.782781771962838
2024,25,3,1,10101,8,8,0.781280327134848
2024,25,3,1,10101,9,9,0.789715790112565
2024,25,3,1,10102,1,1,0.526835773213187
2024,25,3,1,10102,2,2,0.609382005954263
2024,25,3,1,10102,3,3,0.603860632628651
2024,25,3,1,10102,4,4,0.65577864598311
2024,25,3,1,10102,5,5,0.471314397941607
2024,25,3,1,10102,6,6,0.591631070198031
2024,25,2,3,10103,1,1,0.38322858200814
2024,25,2,3,10103,2,2,0.173982004609982
2024,25,2,3,10103,3,3,0.259828503366504
2024,25,2,3,10103,4,4,0.609607573191537
2024,25,2,3,10104,1,1,0.598804484838575
2024,25,2,1,10105,1,1,0.777661584187372
2024,25,2,1,10105,2,2,0.818614345705398
2024,25,2,1,10105,3,3,0.745883608045424
2024,25,2,1,10105,4,4,0.80591269107275
2024,25,2,1,10105,6,6,0.804803805973948
2024,25,2,1,10105,7,7,0.799155454342453
2024,25,2,1,10108,1,1,0.71753424111338
2024,25,2,1,10108,2,2,0.73809267458973
2024,25,2,1,10110,1,1,0.3997407042834
2024,25,2,1,10111,1,1,0.740577460356847
2024,25,2,1,10112,1,1,0.802495316298548
2024,25,2,1,10113,2,2,0.770952885865567
2024,25,2,1,10114,1,1,0.339317387057062
2024,25,2,1,10114,2,2,0.619170405336817
2024,25,2,1,10115,1,1,0.790641141758966
2024,25,2,1,10116,1,1,0.788597163997997
2024,25,2,1,10118,2,2,0.648871248727874
2024,25,2,1,10118,3,3,0.481019716724025
2024,25,2,1,10119,1,1,0.627939477943959
2024,25,2,1,10120,1,1,0.265159345376366
2024,25,2,1,10120,4,4,0.615330142039763
2024,25,2,1,10120,5,5,0.400852463011972
2024,25,2,1,10120,7,7,0.586154457038318
2024,25,2,1,10121,1,1,0.667657134405353
2024,25,2,1,10122,1,1,0.643449249743561
2024,25,2,1,10122,3,3,0.511754894603025
2024,25,2,1,10122,4,4,0.396756884550105
2024,25,2,1,10122,8,8,0.577650375315546
2024,25,2,1,10122,10,10,0.625086545032871
2024,25,2,1,10124,2,2,0.644568632672261
2024,25,2,1,10124,3,3,0.517246971205777
2024,25,2,1,10126,3,3,0.737893356266006
2024,25,2,1,10126,4,4,0.759329645407479
2024,25,2,1,10127,1,1,0.750900517645989
2024,25,2,1,10127,2,2,0.809300251042331
2024,25,2,1,10127,3,3,0.755430039516705
2024,25,2,1,10128,1,1,0.639132888238961
2024,25,2,1,10128,2,2,0.736690105162814
2024,25,2,1,10128,3,3,0.642601434792797
2024,25,1,7,10130,1,1,0.601470248904125
2024,25,1,7,10130,4,4,0.554060927949109
2024,25,1,7,10130,5,5,0.671559804647675
2024,25,1,7,10130,6,6,0.696008762540297
2024,25,1,7,10130,7,7,0.633085925024318
2024,25,1,7,10130,8,8,0.625643629769931
2024,25,1,7,10130,9,9,0.657856270580122
2024,25,1,7,10130,11,11,0.666499397343641
2024,25,1,7,10130,12,12,0.621857172338519
2024,25,1,7,10130,13,13,0.614853310580909
2024,25,1,7,10131,2,2,0.596577616054773
2024,25,1,7,10131,4,4,0.00754338647455232
2024,25,1,7,10131,5,5,0.805867603233637
2024,25,1,7,10131,7,7,0.562963576013989
2024,25,1,7,10131,8,8,0.791076867913917
2024,25,1,7,10131,9,9,0.701324675153471
2024,25,1,7,10131,10,10,0.120300918440089
2024,25,1,7,10131,15,15,0.495634141101783
2024,25,1,7,10131,16,16,0.535671488825063
2024,25,1,7,10131,18,18,0.58249128595723
2024,25,1,7,10131,19,19,0.777468617962084
2024,25,1,6,10133,3,3,0.133043353410936
2024,25,1,6,10133,4,4,0.186997706881588
2024,25,1,6,10134,1,1,0.451602750707205
2024,25,1,6,10134,2,2,0.498777040952868
2024,25,1,6,10134,5,5,0.451338265657878
2024,25,1,6,10134,7,7,0.780317591694157
2024,25,1,6,10135,1,1,0.703428179752641
2024,25,1,6,10135,2,2,0.584962371622963
2024,25,1,6,10136,3,3,0.744335481591514
2024,25,1,6,10136,4,4,0.652457539666961
2024,25,1,6,10137,1,1,0.467448549703569
2024,25,1,6,10137,2,2,0.511563430567834
2024,25,1,6,10137,3,3,0.717671359296746
2024,25,1,6,10137,4,4,0.616746527553102
2024,25,1,6,10137,5,5,0.582644684500109
2024,25,1,6,10137,7,7,0.344919516859263
2024,25,1,6,10137,8,8,0.698982220643878
2024,25,1,6,10137,9,9,0.544122647629628
2024,25,1,6,10138,1,1,0.5780637007452
2024,25,1,6,10138,2,2,0.00502633970536189
2024,25,1,6,10138,3,3,0.00382541521102614
2024,25,1,6,10138,4,4,0.508769339570612
2024,25,1,6,10138,5,5,0.47265156554223
2024,25,1,6,10138,6,6,0.423293302945238
2024,25,1,6,10138,7,7,0.692310447581715
2024,25,1,6,10138,9,9,0.532327155493009
2024,25,1,6,10138,10,10,0.51756919900719
2024,25,1,6,10138,13,13,0.744410201794223
2024,25,1,5,10139,2,2,0.605306955522848
2024,25,1,5,10139,3,3,0.559642785401529
2024,25,1,5,10139,4,4,0.567960182619899
2024,25,1,5,10139,5,5,0.572035450994719
2024,25,1,5,10139,6,6,0.563890969322187
2024,25,1,5,10139,7,7,0.578055172858976
2024,25,1,5,10140,2,2,0.150892097198278
2024,25,1,5,10140,3,3,0.37694725957542
2024,25,1,5,10140,4,4,0.310088292390496
2024,25,1,5,10140,6,6,0.298093349932609
2024,25,1,5,10141,1,1,0.65242776589246
2024,25,1,5,10141,3,3,0.677256165391366
2024,25,1,5,10141,4,4,0.679463755795306
2024,25,1,5,10141,5,5,0.656836184844728
2024,25,1,5,10141,6,6,0.789706657121321
2024,25,1,5,10141,7,7,0.685782780767317
2024,25,1,5,10141,8,8,0.734070251186125
2024,25,1,5,10141,9,9,0.609951221292567
2024,25,1,5,10141,10,10,0.55284466673762
2024,25,1,5,10141,11,11,0.813285114155259
2024,25,1,5,10141,12,12,0.819865021312836
2024,25,1,5,10142,4,4,0.650041600154576
2024,25,1,4,10143,2,2,0.408631975759
2024,25,1,4,10143,3,3,0.692943223712757
2024,25,1,4,10143,4,4,0.477237073433966
2024,25,1,4,10143,5,5,0.538870952473783
2024,25,1,4,10143,6,6,0.431113367277402
2024,25,1,4,10146,1,1,0.770901773286638
2024,25,1,4,10146,2,2,0.683000632439247
2024,25,1,4,10146,3,3,0.643914949600523
2024,25,1,4,10146,4,4,0.611577121036236
2024,25,1,4,10146,5,5,0.594746902646062
2024,25,1,4,10146,6,6,0.572581236434372
